mid,title
73417,Man hua wei long
73800,热浪球爱战
74639,窃听风云 2
74641,全球热恋
74887,玉蒲团之玉女心经
74888,Para Para Sakura
75181,神经侠侣
73873,Albert Nobbs
74100,半斤八两
74227,The Blood Bond
74258,Holy Weapon
74497,Nobody's Perfect
75197,济公
75256,黄飞鸿系列之一代师
75465,赌侠 1999
75519,Dao Ke Wai Zhuan
75520,血芙蓉
75569,Nan yang tang ren jie
75185,Du zi deng dai
75188,Sing kung chok tse sup yut tam
75338,Keung gaan 2 chai fook yau waak
75463,最爱
75678,Big Movie
75694,Tian shi xing dong II zhi huo feng jiao long
75696,御猫三戏锦毛鼠
75697,中华赌侠
75699,Du long tan
75701,四骑士
75704,Long zai Shaolin
75708,Jue sha ling
75812,画壁
75829,My Kung Fu 12 Kicks
75832,Cai li fa xiao zi
75835,Vampire Super
75837,Nan bei tui wang
75840,Saai sau kwong lung
75841,Qi sha
75842,Jiao tou fa wei
75843,Duo gwun
75844,Wu ming ying xiong
75845,Meng mian da xia
75983,Sun Ga Fat
76131,Five Golden Dragons
76275,20 30 40
76293,忠烈图
75464,肩上蝶
75677,Li Mi de caixiang
75700,Huang Fei Hong zhi nan er dang bao guo
75948,白蛇传说
76294,空山灵雨
76520,Liu Xiao Feng zhi jue zhan qian hou
76521,武状元铁桥三
76523,白莲邪神
76544,Man of Tai Chi
76612,The Fortune Buddies
77059,龙门秘指
77061,The Clones of Bruce Lee
77093,第601个电话
77132,春满丹麦
77487,赤裸红唇
77544,幸福额度
78027,同居蜜友
76163,The Expendables 2
76257,阿郎的故事
76337,Sammi Love Mi Concert 2009
76349,辛亥革命
76758,金陵十三钗
78031,Chat nin han yeung
78035,肥龙过江
78128,Miss Kicki
78149,"An Alan Smithee Film: Burn, Hollywood, Burn"
78194,Hak bak sam lam
78195,异度空间
79093,英雄好汉
79321,Wu yue zhi lian
79322,凶男寡女
79577,夏日恋神马
79865,初恋无限Touch
79871,蜜桃成熟时
76983,San lang qi an
77099,Mei Wan Mei Liao
77633,大腕
78022,Da wu sheng
78033,Sha shou hu die meng
79872,The Most Dangerous Man
79953,Xun cheng ma
80474,Boxer Rebellion
80477,Tian shi xing dong III mo nu mo ri
80479,Sisters In Law
80485,猛鬼入侵黑社会
80606,神勇飞虎霸王花
80640,Kujaku ?
80644,Axis of War: The First of August
80779,DragonBlade: The Legend of Lang
80794,Mie men can an zhi nie sha
81128,天若有情
81221,The Laser Man
81639,乘着光影旅行－李屏宾的摄影人生
81669,力王之黑色擂台
81709,上天救命
81750,英雄·喋血
81752,守望者: 罪恶迷途
81870,龙门飞甲
78166,铁甲无敌玛利亚
78172,喜爱夜蒲
78196,跳跳舞
78385,Xia Ri Nuan Yangyang
78428,聊斋艳谭续集五通神
81937,Dynamite Brothers
82061,Wind and Cloud: The Storm Riders
82161,Chow lok yuen
82190,杨门女将之军令如山
82952,庙街十二少
83277,The Missing Gun
83517,极速天使
83721,大魔术师
83876,Long xie shi san ying
83914,截拳鹰爪功
83960,南洋十大邪术
79064,手机
79279,甲方乙方
79434,A1 tou tiao
79992,Jian hu nu xia Qiu Jin
84275,李三脚威震地狱门
84369,Man On The Brink
84700,情人结
84702,And I Hate You So
84703,The Beauty Remains
84825,战·无双
85012,Mang gwai oi ching goo si
85014,天师撞邪
85020,黄面老虎
85258,Ninja: The Battalion
85259,盖世奇花
85502,Dung sing sai tsau 2011
80268,Tian di xuan men
81344,鸿门宴
83016,蜡笔小小生
83048,Treasure Hunt
83706,逆战
85532,Youling renjian II: Gui wei ren jian
85590,八星抱喜
85795,笑咏春
85877,蜜桃成熟时33D
86124,大太监
86275,Hei dian
86851,Ol' Dirty Kung Fu
87953,风儿踢踏踩
84819,杀手欧阳盆栽
85508,麦兜菠萝油王子
85874,Hoi sam mo fa
88046,铁金刚大破紫阳观
88048,楚留香
85878,星空
88141,壁虎
88159,臭头小子
88377,Robo Vampire
88381,Devil's Dynamite
88553,Shi jie da shai
88631,Hong quan xiao zi
88633,方世玉与洪熙官
88806,Chi dan qing
88889,瘦虎肥龙
88922,油鬼子
88945,亡命忍者
88978,Duan hun gu
89433,Chung fung dui liu feng gaai tau
89475,Diamond Ninja Force
89478,野战忍者
89483,Zhi zun shen tou
89749,Mr. & Mrs. Gambler
86409,高海拔之恋 II
86425,每当变幻时
87036,Liu xing hu die jian
89992,处女降
90003,Godfather’s Daughter
90018,龙形刁手金钟罩
90022,Bao biao
90071,铁掌旋风腿
90147,夺命金
90548,Da ci ke
90556,唐山五虎
90557,Zei zang
90562,出笼马骝
90565,Leu ci ke
90567,Zhong tai quan tan sheng si zhan
90772,Chi Ri Qi Cheng
90805,虎鹰
90934,香港奇案之吸血贵利王
90965,Xue mei gui
91007,Dou Sing 2 - Gai Tau Dou Sing
91286,China Dragon
91463,旺角揸Fit人
91759,Laughing Gor - Qian Zui Fan
91919,Gwang tin lung fu wui
92360,Lie mo zhe
92563,僱佣兵
92679,Chou Lian Huan
90283,Hello! Shu Xian Sheng
90808,重装警察
91186,桃姐
92710,Bo za
93412,金鸡2
92990,黄土地
93387,新上海滩
93502,八宝奇兵
93532,Mo Tai
93569,Qian mian mo nu
93754,Shatter
93898,Qin Mi Di Ren
94406,Zhui Ri
94676,Bian di lang yan
94753,The Four Invincibles
95728,Lian zhi feng jing
95731,Ye. leung heun
95955,The Tattoo Connection
95990,Di san lei da dou
96331,舞拳
96480,地下铁
96664,大追捕
93465,金玉满堂
93487,八星报喜
93582,买凶拍人
96952,Da Dao Wang Wu
96989,Operation Pink Squad II
96990,龙之争霸
97150,英雄本色
97412,Kera sakti
97520,海南鸡饭
97731,提防小手
97812,淫种
97876,绑架
98164,殭尸少爷
98171,Shao Lin yu ren zhe
98174,Da jiao long
98420,Tie tui jiang mo
98422,Long she xia ying
98984,Eat a Bowl of Tea
99576,Huang fei hong si da di zi
99580,Top Fighter 2
99582,亚洲警察之高压线
100943,琴剑恩仇
101024,2012 我爱HK  喜上加囍
95919,爱
101189,Tao da liang da xian shen wei
101334,最佳拍档之醉街拍档
101569,"???, ?????"
101920,三毛流浪记
102263,黑马王子
102468,Moh sun gip
102477,Ching fung dik sau
103535,Zhui ming qiang
103847,唐人街功夫小子
104194,10+10
104240,红粉兵团
104259,城巿特警
104262,狼女白魔
104272,Gou hun jiang tou
96144,Bao chou
96466,Qin Yong
96487,女人．本色
96686,我愿意
97430,The Man with the Iron Fists
98497,等待黎明
104287,第一类型危险
104313,Hai zi wang
104509,人鱼朵朵
104566,Shui ngai miu si
104582,Magic Warriors
104583,Child of Peach
104586,Xin shi er sheng xiao
104589,灵幻童子
104594,盘丝洞
104597,飞尸
104599,蛊
104606,神打
104624,红粉游侠
104639,Ren gui shen
104675,San tou mo wang
104680,鬼新娘
104681,Zhuang dao zheng
104683,The Spooky Family
104684,鬼整人
104686,Money Maker
104689,菩提幽魂
104811,Frankenstein's Wedding... Live in Leeds
104876,心魔
104961,我在监狱的日子
104969,替天行道之杀兄
105002,鬼屋小精灵
105010,脑魔
105014,猛鬼咒
105021,诸葛四郎大斗双假面
105482,Shao Lin zi di
105812,Qing lou shi er fang
105826,The Blue Jean Monster
105872,金粉游龙
105903,貂女
105910,Mong ming yuen yeung
105919,仇
105976,Tian shi te jing
98567,Chinese Zodiac
98570,双城计中计
101335,追男仔
102869,Ren shan ren hai
106423,红孩儿
106430,Ren hu lian
106444,The Ghost Informer
104171,Zai na he pan qing cao qing
106452,金尼姑
106463,Shy Spirit
106465,鬼媾人
106468,Zhong kui jia mei
106470,漫画奇侠
106472,精灵变
106473,My Neighbours are Phantoms
106517,监狱不设防
106640,Sha jue
106649,Ling hu
106651,金燕子
106652,Picture of a Nymph
106654,画皮之阴阳法王
106656,鬼打鬼之黄金道士
106660,Fei xiang guo he
106661,魔高一丈
106664,殭尸福星仔
106665,笑傲侠义黄大仙
106672,银姑
106703,灵幻新娘
106708,猛鬼迫人
106713,出土奇兵
106714,鬼娘子
106718,King of Snake
106719,Kung Fu Student
106720,妖怪都市
106778,Yu jian fu mo
107010,Yang chi
107242,Yu shi shang tong ju
107248,梁山伯与祝英台
107374,Ye jing hun
107475,Deadly Angels
107485,胭脂虎
107491,Xie zhou
107500,Yes Madam 5
107623,少林英雄
107682,Xin buliao qing
105001,Bing Feng : Chong Sheng Zhi Men
 　　某日，贺英奉皇帝之命前往天竺国押运相传可以预知未来的国宝\"时空金球\"。归来途中，却突遇龙、虎和獒这三个兄弟前来捉拿自己。原来朝廷重臣杜大人一家被人杀害，现场杀人证据一并指向贺英。众人正在争斗当中，地动山摇，巨大雪崩将四人淹没。  　　400年后，意外解冻的贺英来到了现代社会，并在万圣节的晚上偶遇醉意朦胧的都市女孩小美（黄圣依饰）。小美时尚靓丽，表面拜金，实则心地善良。在小美的帮助下，天资聪慧的贺英很快学会了适应了高科技的现代社会，同时，随着在生活中的相处与了解，贺英和小美感情也发生了微妙变化。  　　与此同时，虎、獒二人也相继从冰封中解冻，由于记忆还停留在400年前，二人开始不停追捕贺英，并在香港青马大桥激烈开战，就在贺英与虎、獒恶斗的同时，却遭遇神秘第三方发射的麻醉弹，贺英中枪昏迷坠海……",4.699999809
105680,春娇与志明
105825,Erotic Ghost Story III
106373,海滩的一天
107714,Bu yi shen xiang
107807,处女的诱惑
107824,The Psychopath
107827,Dreams of Eroticism
107828,Fei long zhan
107831,The Criminals
107834,搭错线
107840,Jin mao shi wang
107841,少年与少妇
107843,慾魔
107887,Huang Fei Hong
107891,Mai Fu
107893,毒女
107895,黑灵官
107897,Xia shi hang
107899,Huang jiang nu xia
107900,Yu luo cha
107903,珊珊
107905,San geng yuan
107906,The King with My Face
107910,铁扇公主
107911,The Warlord and the Actress
107912,新啼笑姻缘
108128,The Underground
108268,Ye mo xian sheng
108364,Shuai pi gui
108431,凶咒
108510,Du hou mi shi
108518,Nan quan bei tui dou jin hu
108811,San chuen lao see II: Sik ji ngoc gwai
108954,那山那人那狗
107972,Gwai ma seung sing
108665,Bui bun si mun
108962,Guai xia
109051,Du sheng wu ming xiao zi
109088,Fang Shih Yu yu Hu Hui Chien
109105,血海螳螂仇
109116,龙争虎斗精武魂
109142,"Jin shi pei yu, xiang gang qing ye"
109530,Hao qi hai si mao
109967,香港屠夫
110554,美好2012
111145,亚飞与亚基
111363,流氓差婆
112219,Pi li da la ba
112366,Kung Fu Mahjong 3: The Final Duel
112433,Dai lo bai sau
112434,Zhui nui zi 95: Zhi qi meng
112435,我要活下去
112437,Lang man feng bao
112438,Da san yuan
109987,群星会
110410,毒战
112516,Blood Stained Shoes
112587,The Godfather Squad
112594,摩登天师
111084,嫁个100分男人
112021,破事儿
112025,我们天上见
112649,Jat go zi tau di daan sang
112652,边缘岁月
113684,The Other Side of Gentleman
113687,Cupid One
114007,Ren she shu
114183,Chung on sut luk: Tuen Man sik mo
114980,The Iron Monkey
114983,强奸陷阱
115156,Gam chi yuk sip
115651,Shen dao
115652,Long men jin jian
115960,怪物
116265,Second Star to the Left
116348,Him Gok
117056,Yedian gui tan
117326,卫斯理之老猫
117522,PTU neui ging ji ngau yin haam jing
117557,Shadow of China
117659,Kurosawa: The Last Emperor
117711,Kung Fu Killer 2
118202,天涯海角
112700,万人斩
112929,学校风云
114464,杀生
118211,去年烟花特别多
118212,92黑玫瑰对黑玫瑰
118376,新难兄难弟
114739,Fu sing
115738,Million Dollar Crocodile
116154,Qing Cheng Zhi Lei
117506,车手
118379,色情男女
118381,安娜玛德莲娜
118385,赌城大亨之新哥传奇
118465,Hua jie kuang ben
118483,The Art of Action: Martial Arts in the Movies
118545,Chop Socky: Cinema Hong Kong
118984,33 Postcards
119174,川岛芳子
119336,Ban wo chuang tian ya
119337,Yam yeung choh
119339,Touch and Go
119340,Undeclared War
119342,The Suspect
119458,$upercapitalist
119626,Feng Kuang De Chun Zei
119865,手机凶灵
119944,Chuang wang li zi cheng
120713,Wu Dang
121154,Tumbledown
121303,巡捕房Tiger Over Wall
121367,癫螳螂
118416,War of the Under World
118438,甜言蜜语
121456,Lie ri kuang feng ye huo
121752,Zhixi
121985,洪门斗恶者
122611,姨妈的后现代生活
118442,十万火急
118613,Ben ming nian
122765,忠烈精武门
122880,Tai quan zhen jiu zhou
123886,Shi Er Xing Zuo Li Qi Shi Jian
123913,勇立忍者
124065,Sun boon gan bat leung
124326,掌门人
124471,画皮II
124670,Breakout From Oppression
124840,Jilao sishi
124870,邪
118865,Xuan hong
119892,西游记之大闹天宫
120143,四大名捕
120880,情谜
120884,Zui hung
125076,我爱厨房
125097,Kindergarten Ninja
125148,Xin za shi xiong zhu nu zi
125186,赌城大亨II之至尊无敌
125386,Fei zhou chao ren
125561,Nu xia mai ren tou
125708,江湖告急
125756,Man zhou ren
126498,Guo Shu Chi Duan
127205,Gui qing ni di hu
127231,Oi seun si sun leung
127329,Jue se wu qi
127461,麒麟掌
127583,美丽酒吧
127987,快活林
128280,Blood Money
128387,盗脑者
128393,Te jing 009
128420,Devil Eye
128486,唐人票客
128799,Love Lifting
128800,Qi hao cha guan
128949,Blood Money
128954,猎头
128987,Cha Wu Ci Ren
129181,爱奴新传
129468,乐翻天
129496,笔仙惊魂
129563,蝴蝶飞
121602,危险关系
121795,Caught In The Web
121823,太极
121878,Wang de Shengyan
130011,Wu zhuang yuan
130279,Shen long xiao hu chuang jiang hu
130473,唐人客
130532,Shao Lin jiang shi tian ji
130799,BMW Rhapsody
130922,光阴的故事
131069,Iron Road
131115,She qing gui
131148,Juet Sai Ho Bun
131859,太极八蛟
131975,Jiang hu san nu xia
132183,幸运一条龍
133234,A Master and His Student (Yongmunpagyejeja)
133844,Cui ming fu
134117,龙威山庄
134170,Hai yuan chi hao
134770,匹夫
122973,Fu rong zhen
123338,玉蒲团之官人我要
123797,Vulgaria
124157,???
135061,无敌幸运星
135230,冇警时份
135539,Miao tan shuang jiao
135549,大武士与小票客
135943,The Eagle's Killer
136084,Gaston en Leo in Hong Kong
136303,赤脚小子
136701,铜雀台
136936,DIVA华丽之后
126545,不见不散
127849,鎗王
128842,Bian jing feng yun
129070,听风者
129123,勾魂恶梦
129850,消失的子弹
136944,My Loving Trouble 7
136958,Demon 2 (Du Huo 2)
137386,麦兜．当当伴我心
137916,Heunggong dai 1 hung chak
138103,The Expendables 3
132169,新僵尸先生
132279,Yin shi nan nü - Hao yuan you hao jin
133578,"Who's the Man, Who's the Woman"
136942,影子爱人
138147,流浪汉世界杯
138448,平安夜
138528,Goeng si paa paa
138529,冷面狙击手
138530,Huo yun chuan qi
138567,Tiu chut san woo hoi
138592,Xue Call ji
138790,表姐，你好嘢！
138845,Zhi zhuan yi jian
138960,师兄撞鬼
139321,Da jue dou
139497,哗众取宠 2009
139499,越大镬越快乐
139500,Dayo Wong Stand-up Comedy 2006
140026,Commando Fury
140088,Fever
140985,Da se
141131,Mai ming xiao zi
141138,Jiao tou
141335,心跳一百
141337,求爱夜惊魂
141365,Bi gui wan
141388,Mo tu
141390,血中血
141460,Jian dong xiao xiong
141461,Bi xie jian
141469,Xiao ao jiang hu
141570,Chow tau yau liu
136943,Passion Island
137409,寒战
138060,愈快乐愈堕落
139162,White Deer Plain
139319,王朝的女人·杨贵妃
141577,惊天大贼王 Geng tin daai chaak wong
141888,Meng gui tong xiao pei zhu ni
142050,Sheng si xian
142141,Ji de... xiang jiao cheng shu shi II: Chu lian qing ren
142300,魔翡翠
142387,鳄潭群英会
142401,Passionate Killing in the Dream
142451,阿金
142696,Sous le nom de Melville
143156,Xia nu chuan qi
143292,刀剑笑
139329,一九四二
140300,Kung Fu Panda 3
143479,上海之夜
143627,害时出世
143855,屯门色魔
143865,冷眼杀机
144429,圣诞奇遇结良缘
141941,The Lion Roars 2
143217,Meng gui cha guan
143500,舢舨92之爱的出航
144610,妙探双龙
144634,Jiang shi zhi zun
144641,Nu Zei
144841,Kuang qing sha shou
144934,Ah Sou
145068,张保仔
145228,Eternal Fist
145308,Inferno: The Making of 'The Expendables'
145701,The Longest Bridge
145920,Lie ren
145954,The Monkey King: Uproar in Heaven
145996,鬼同你有缘之阴尸路
146116,行运超人
146300,Xi ya tu da tu sha
146302,Yellow Rain
146312,聊斋志异之鬼话狐
146368,Nue zhi lian
146530,独臂拳王勇战楚门九子
146109,If I Were You
146840,游侠情
147247,Bei po
147399,Daehyeongchuldo
147400,Xue yu
147404,江湖奇侠
147407,十大弟子
147413,断肠剑
147423,Gou hun zhen duo ming quan
147498,我在黑社会的日子
147755,An le zhan chang
147839,She mao ho hun hsing
147294,男人如衣服
147590,杀妻二人组
147942,Huang Fei-Hong zhi gui jiao qi
147950,精装追女仔
148380,咖喱辣椒
148667,Message from Nam
148753,常在我心
149010,七月十三之龙婆
149464,Golden Needles
149640,Shi po tian jian
150230,Kill 'em All
151240,Qiu ai gan si dui
151850,Guangdong tie qiao san
151897,最佳损友闯情关
149085,Tai Chi Hero
151988,Xin leng xue shi san ying
152041,Yeh boon mo yan see yue si
152201,生日快乐
152251,Liu zhi qin mo
152291,精装追女仔II
149961,To ching chien ko wu ching chien
150234,Qi Xiao Luo Han
151743,人再囧途之泰囧
152298,最佳损友
152421,Da Lui Toi
152442,Li Xiao Long Chuan Qi
152540,鬼流星
152954,Sip si ling dou - cheun gwong tsa sit
153145,Xiao za zhong
153268,Duo she
153270,Duo ming jia ren
153295,邪完再邪
153353,蛮荒的童话
153358,李小龙与我
153618,鬼迷心窍
153847,快拳怪招
153983,Cai guo jie huang jin bu dui
153990,狱中龙
154114,Li Xiao Long di Sheng yu si
154115,Di shi pan guan
154261,初到贵境
154299,Chu Lai Yip yi Leung San Pak
154353,富贵逼人
154357,富贵再逼人
154359,富贵再三逼人
152257,龙凤茶楼
152284,精装追女仔之3狼之一族
154435,Te jing ji xian feng
154529,开心鬼放暑假
152465,Di zi ye feng kuang
154304,Chun tian hua hua tong xue hui
154524,开心鬼
154531,开心鬼救开心鬼
154694,Luan shi er nu
154736,Lung gam wai yi dzi wang mo leung leung
154989,Qi xiao fu
155082,Huo bao lang zi
155114,Dei ha ching
155158,Duo ming jin jian
155349,冷刀染红英雄血
155371,Sam hon
155387,Ching yi sam
155393,Mai qi Mankedun
155394,铁血骑警
154535,开心鬼上错身
155397,Xing mu zi gu huo zhao
155398,Leng mian hu
155551,Du bi shuang xiong
155888,Les Jeux des nuages et de la pluie
155897,Tian cai yu bai chi
156007,飞刀手
156054,Fei hu wai zhuan
156076,Xiao sha xing
156077,财叔之横扫千军
156120,Yu tang chun
156232,Feng lei mo jing
156308,Gung hoi keung gaan fung
156422,Wan jian chuan xin
156962,死亡网络
157200,大丈夫日记
157202,Yue hei feng gao
157222,空中小姐
157229,烈火青春
157233,Long Ya Jian
157243,Dong fu ren
157252,英雄本色
157389,女忍者
157421,Gui Yu
157575,Mo dai huang hou
157887,最佳贼拍档
158251,黑白道
159185,Pao Da Shuang Deng
159228,Han fei
159400,Tai fong lo chin
159597,A Xiu Luo
154732,Lung gam wai 2003
155508,Wo yao zuo model
156045,凶榜
159818,十二生南
159862,就是溜溜的她
160182,一本漫画天涯
156070,O记三合会档案
156201,Gun gun hong chen
160262,黑道风云之收数王
156643,Da Shang Hai
157239,阿虎
160271,旺角风云
160309,Johnnie Got His Gun!
160342,Mou mei san taam
160354,超时空要爱
160365,醉生梦死之湾仔之虎
160473,Ngaak ngo che sei
160476,Yeung gwong ging chaat
160703,Bi gui zhuo
160722,Dai sei hei
160750,Yan yuk wan gui
160806,Hong deng qu
160657,Yuen mei ching yan
160700,Ngor lo paw hai dou sing
160733,六楼后座2 家属谢礼
160964,Cheng Zhai chu lai zhe
160967,An qu
160968,Dan cheng lu
160969,Dian feng kuang long
160971,不夜天
161017,茅山殭尸拳
161295,Ba wang nu fu xing
161351,戚继光
161469,白马素车勾魂幡
161489,疯狂粉丝王
161604,浪漫杀手自由人
161611,红场飞龙
162455,火种
162568,Natural Born Lovers
163265,Fei yue wei qiang
163483,Bewitched Area of Thousand Years
163607,连体
163622,Gui Yan
163677,Piao Liang Ma Ma
164086,海市蜃楼
164427,Shen Sheng Yi
164433,Lian cheng jue
164439,Jiang hu han zi
160741,记得……香蕉成熟时
161285,阳光灿烂的日子
161327,Goo waat zai: Gong woo sun dit jui
162841,香魂女
162904,3分钟先生
164755,Spike Drink Gang
165021,Yu mian hu
165548,Long hu Bo Lan ji
165667,我老婆唔够秤II：我老公唔生性
165790,Cinema of Vengeance
165954,Yi ge mo sheng nu ren de lai xin
166164,Cinema Hong Kong: Wu Xia
166165,Cinema Hong Kong: The Beauties of the Shaw Studio
167091,午夜出租车
167449,Xue di zi
167620,Bruce Lee and Kung Fu Mania
167622,Fist to Fist
167675,The Path of the Dragon
167679,The Life of Bruce Lee
167688,The Unbeatable Bruce Lee
168763,Working Class
166862,Concert YY 黄伟文作品展
168809,撞邪先生
169163,Kui moh do jeung
169258,千言万语
169483,西门町
169499,Gwei tai jian
169809,Feng Fei Fei
168094,百星酒店
168739,在一起
168814,Will You Still Love Me Tomorrow?
170319,Wu Ting
170374,Meng hu dou kuang long
170379,钱王、拳王
170804,老虎出更2
170805,东方老虎
170806,Fury in Red
170809,皇家师姐之中间人
170810,Di xia bing gong chang
170812,Hai lang
170814,Hong fen zhi zun
170981,今夜星光灿烂
171203,Keung gaan 3: Ol yau waak
171400,Jin yin chou
171549,Ah ma yau nan
171816,倾城之恋
172239,独行大镖客
172607,新阿里巴巴
172615,皇家飞凤
172619,女校风云之邪教入侵
172627,Xian fa zhi ren
172642,Ling Ye
172645,城市判官
172649,何日君再来
172660,Di 8 dian
172661,Mi zong wei long
172664,Bet on Fire
170657,西游降魔篇
172667,绝桥智多星
172669,一咬OK
172672,Bitter Taste of Blood
172698,Bless This House
172700,Princess Madam
172726,血裸祭
172735,Meng gui zhuang gui
172738,寒夜青灯
172740,黑海霸王花
171268,棋王
171704,Ying yang lu
172743,Bullet for Hire
172744,火烛鬼
172745,Wei Si Li zhi ba wang xie jia
172752,与鸭共舞
172760,Dak kui oi no
172766,义本无言
172773,疯血
172777,专钓大鳄
172780,毒咒
172788,Deadly Dream Woman
172794,惊魂记
172800,千年女妖
172806,艳鬼凶灵
172928,殭尸医生
172937,梦中人
172940,梦醒血未停
172947,一脱求生
172959,夜激情
172968,猛鬼山坟
172969,凶猫
172980,Fatal Chase
172985,杀之恋
172992,Fatal Passion
173001,Final Run
173008,最后一战
173015,Lim jing dai yat gik
173017,第一茧
173018,茅山学堂
173027,哗鬼旅行团
173034,Gan yan gwai
173038,Fun and Fury
173042,洪福齐天
173043,义胆雄心
172782,Yu long gong wu
172786,东瀛游侠 武林圣斗士
172972,摩登如来神掌
173105,Ghost Ballroom
173106,Leng xie tu fu
173109,Zhuo gui zhuan men dian
173113,古镜幽魂
173116,Yang gui
173118,Ghost of the Fox
173123,天师捉奸
173124,Ghosts Galore
173133,公子多情
173137,Tian luo di wang
173255,高考1977
173518,The Legendary Heroes
173653,望夫成龙
173774,Xiang jiang hua yue ye
173776,饿狼谷
173803,Dut hiu yuet yuen
173901,Ladies First
173947,不了情
174108,Shen yong shuang xiang pao
174127,天若有情III烽火佳人
174755,Luo xie
174765,绝代双骄
175274,Silver Dragon Ninja
175810,小云雀
175821,霸道纵构
175843,怒剑狂刀
175906,1:99 电影行动
175961,Chocolate Inspector
176023,龙之家族
176217,似水流年
176219,疯劫
176325,破晓时分
176654,再见阿郎
176665,心兰的故事
176672,蓝与黑
176875,飞越黄昏
177014,Dragons of the Orient
177351,The Year of Jacky Cheung: World Tour 07
177396,Yun ni
177499,笑功震武林
178121,销魂玉
178674,阴阳爱
178753,十三太保李存孝
179268,Zhong Hua jing hua
179461,Xin bi xue jian
179631,Mo jian xia qing
179890,猎人
179940,The Killer's Love
179944,Circus Kids
179995,Hong yun dang tou
180465,金蚕降
180532,The Singing Thief
175348,Hoi seung fa
180755,Stone Age Warriors
180896,True Colours
180897,Rock N' Roll Cop
180903,Protege de la Rose Noire
181110,Shen Qiang Shou yu Ga Li Ji
181308,Mei gui wo ai ni
181633,人民英雄
181648,来如风
181735,不脱袜的人
176629,七十二家房客
181009,忠烈杨家将
181051,2013我爱HK恭囍发财
181738,The Haunted Cop Shop II
181751,捕风汉子
181757,义盖云天
181870,Ren xia gui
181874,好彩撞到你
181888,同床2梦
181897,神探父子兵
181906,烈火街头
182012,The Big Brother
182030,火烧红莲寺之鸳鸯剑侠
182227,爱杀
182232,法内情
182314,The Most Wanted
182327,至尊特警
182335,龙行四海
182432,踢到宝
182769,Office有鬼
182820,Yang ± Yin: Gender in Chinese Cinema
182878,冰天侠女
182886,Hong Kong 97
183048,Chung gik yan je
182127,Yip Man: The Final Fight
183159,沙滩仔与周师奶
183540,Wu lin feng yun
183783,Wen Suchen
183846,吉星拱照
183849,Ngoi di sai gaai
183983,Steve Coogan: The Inside Story
182311,省港旗兵第三集
184068,An Amorous Woman of the Tang Dynasty
184173,Ti guan
184990,七年之痒
185004,碧水寒山夺命金
185162,Possessed
185309,Twinkle Twinkle Little Star
185432,梦差人
185832,Sheng dan kuai le
185885,拳击
186022,Ba wang quan
186302,Suo Ming
186346,离魂
186391,猛鬼食人胎
186412,南洋第一邪降
186518,铁胆雄风
186525,Rich Man
186568,Spiritually a Cop
186693,Every Man for Himself
186695,Ching tieh
186699,Disco Bumpkins
186703,Emperor Chien Lung and the Beauty
186712,佛跳墙
186727,醒目仔
186874,Gambler's Delight
186877,Murderer Pursues
186881,龙虎少爷
186882,Shu Jian en chou lu
186890,Notorious Eight
186892,Family of Lust
186893,辛亥双十
186896,Wu Song
186899,Destiny's Champion
186901,Winner Takes All
186903,Yin ji
186907,柠檬可乐
186910,"Rolls, Rolls, I Love You"
186914,Bong Ju
186917,Passing Flickers
186920,Mo jie
186923,Man Crazy
186924,The Emperor and the Minister
186926,Xiao zi you zhong
186927,Shen tong shu yu xiao ba wang
186930,疯狂83
186941,"Take Care, Your Majesty"
186944,The Little Cute Fellow
186958,Ya zhou mi mi jing tan
187003,青蛙王子
187004,Wo ai shen xian zhe
187005,南斗官三斗北少爷
187013,Pale Passion
187014,Misfire
187015,望子成虫
187018,How to Choose a Royal Bride
187020,San dung whang yan
187021,My Name Ain't Suzie
187024,Wives and Lovers
187030,Love with the Perfect Stranger
187033,Women
187034,Girl with the Diamond Slipper
187036,I Love Lolanto
187040,Carry on Doctors and Nurses
187046,Xian dai hao fang nu
187050,Shadow Girl
187052,一池春水
187172,The Younger Generation
187176,Gui Men Guan
187178,My Son
187179,Hai Wai Qing Ge
187182,A Time for Love
187187,Apartment for Ladies
187336,The Drinking Knight
187351,爱情大拍卖
186940,男与女
187022,天注定
187364,香港过客
187369,林冲夜奔
187378,E ke
187382,The Casino
187386,Let's Go to Bed
187387,Luo ye fei dao
187392,Qun ying hui
187397,Shao nai nai de si wa
187401,Ye Ban Ge Sheng
187403,亡命徒
187406,Pi Li Quan
187408,一乐也
187419,Illicit Desire
187422,Dao bing fu
187432,Facets of Love
187433,Pan ni
187439,Da hai dao
187440,Mei shan shou qi guai
187447,Crash! Che botte... strippo strappo stroppio
187464,哪咤
187466,成记茶楼
187473,E hu cun
187488,Gossip Street
187490,Huang Fei Hong yi qu Ding Cai Pao
187491,阿牛入城记
187496,Friends
187498,Sinful Confession
187500,Tian wang
187652,捉奸趣事
187659,Biao qi fei yang
187674,E ba
187682,Nu bu kuai
187686,Di shi da lao
187689,古之色狼
187692,新啼笑姻缘
187705,恶爷
187707,Jin shou zhi
187709,Da da xiao yi jia chun
187721,A Bride's Nightmare
187723,One Heart One Spirit
187724,Mobfix Patrol
187727,Gong fen dong jiang hu
187738,Godfather from Canton
187470,丑闻
187739,Bat sap yee ga fong hak
187748,36 Secrets of Courtship
187751,鹿鼎记
187752,Fast Fingers
187756,Hong Kong Playboys
187758,Let's Make Laugh
