巩俐 10 nr
乔宏 10 nr
李连杰 10 nr
梁朝伟 10 nr
张曼玉 10 nr
章子怡 10 nr
Chen Dao-Ming 10 nr
甄子丹 10 nr
周润发 10 nr
Cheng Pei-Pei 10 nr
鲍德熹 10 nr
曾江 10 nr
吴宇森 10 nr
张耀扬 10 nr
Paulyn Sun 10 nr
Carina Lau 10 nr
成龙 10 nr
袁和平 10 nr
任达华 10 nr
陈凯歌 10 nr
刘烨 10 nr
Hong Chen 10 nr
Mark Williams 10 nr
王文隽 10 nr
杨恭如 10 nr
方中信 10 nr
Christopher Kubheka 10 nr
杜琪峰 10 nr
张学友 10 nr
刘德华 10 nr
Waise Lee 10 nr
林雪 10 nr
曾志伟 10 nr
Karl Maka 10 nr
许冠杰 10 nr
Teddy Robin Kwan 10 nr
Sylvia Chang 10 nr
林子祥 10 nr
Tsui Hark 10 nr
Ringo Lam 10 nr
刘家良 10 nr
陈雅伦 10 nr
李修贤 10 nr
Nina Li Chi 10 nr
黄锦燊 10 nr
潘恒生 10 nr
Corey Yuen Kwai 10 nr
Anita Mui 10 nr
张柏芝 10 nr
郭富城 10 nr
Bill Tung 10 nr
林熙蕾 10 nr
Collin Chou 10 nr
锺丽缇 10 nr
N!xau 10 nr
Lau Siu-Ming 10 nr
黄霑 10 nr
Michelle Reis 10 nr
林青霞 10 nr
舒淇 10 nr
梁家辉 10 nr
周星驰 10 nr
元华 10 nr
Jeffrey Lau 10 nr
莫文蔚 10 nr
洪金宝 10 nr
黄炳耀 10 nr
吴耀汉 10 nr
Stanley Fung 10 nr
胡慧中 10 nr
林正英 10 nr
Dick Wei 10 nr
吴镇宇 10 nr
任贤齐 10 nr
陈国新 10 nr
袁咏仪 10 nr
Jacklyn Wu 10 nr
谷德昭 10 nr
梁咏琪 10 nr
John Ching 10 nr
James Wong 10 nr
Lau Shun 10 nr
Yuen Cheung-Yan 10 nr
Yuen Shun-Yi 10 nr
Ng See-Yuen 10 nr
姜大卫 10 nr
关之琳 10 nr
Paul Fonoroff 10 nr
莫少聪 10 nr
Alfred Cheung Kin-Ting 10 nr
黄秋生 10 nr
黎明 10 nr
Sally Yeh 10 nr
邱淑贞 10 nr
黎姿 10 nr
程小东 10 nr
谭咏麟 10 nr
王祖贤 10 nr
张敏 10 nr
葛民辉 10 nr
林海峰 10 nr
温翠苹 10 nr
邬君梅 10 nr
Ti Lung 10 nr
张国荣 10 nr
Emily Chu 10 nr
吴孟达 10 nr
Teresa Mo 10 nr
陈欣健 10 nr
罗烈 10 nr
徐少强 10 nr
Ken Lo 10 nr
陈德森 10 nr
王宝强 10 nr
张家辉 10 nr
孙红雷 10 nr
李滨 10 nr
Huang Lei 10 nr
张雨绮 10 nr
葛优 10 nr
Jiang Wen 10 nr
王学圻 10 nr
赵薇 10 nr
吕良伟 10 nr
Xing Yu 10 nr
徐玟晴 10 nr
Mai Kei 10 nr
萧芳芳 10 nr
郑少秋 10 nr
陈惠敏 10 nr
张卫健 10 nr
Anthony Chan 10 nr
刘松仁 10 nr
Lam Wai 10 nr
徐锦江 10 nr
黄圣依 10 nr
罗美薇 10 nr
Christine Ng 10 nr
柯受良 10 nr
惠英红 10 nr
Sammi Cheng 10 nr
Pauline Yeung 10 nr
叶德娴 10 nr
Yammie Lam Kit-Ying 10 nr
蔡少芬 10 nr
Johnnie Kong 10 nr
陈观泰 10 nr
吴君如 10 nr
朱茵 10 nr
罗行堂 10 nr
Vincent Wan Yeung-Ming 10 nr
苑琼丹 10 nr
洪欣 10 nr
楚原 10 nr
刘仪伟 10 nr
Yonfan 10 nr
胡军 10 nr
Ann Bridgewater 10 nr
张涵予 10 nr
邓超 10 nr
金燕玲 10 nr
Mabel Cheung 10 nr
向华强 10 nr
谷祖琳 10 nr
许冠文 10 nr
吴家丽 10 nr
杨菁菁 10 nr
黄晓明 10 nr
陈坤 10 nr
Xu Jiao 10 nr
林国斌 10 nr
Carman Lee 10 nr
黄子华 10 nr
郑丹瑞 10 nr
Feng Yuanzheng 10 nr
陈玉莲 10 nr
Tien Niu 10 nr
鲍汉琳 10 nr
沈殿霞 10 nr
郭晓冬 10 nr
Ricky Ho Kwok-Kit 10 nr
John Shum Kin-Fun 10 nr
Cheung Tat-Ming 10 nr
刘以达 10 nr
李力持 10 nr
苗圃 10 nr
Fung Hak-On 10 nr
元秋 10 nr
成奎安 10 nr
西瓜刨 10 nr
Mars 10 nr
吴辰君 10 nr
于荣光 10 nr
田丰 10 nr
李美凤 10 nr
Lee Siu-Kei 10 nr
吴启华 10 nr
Kwong Leung Wong 10 nr
刘天兰 10 nr
Wang Hsieh 10 nr
Wong Chung 10 nr
Maria Cordero 10 nr
Candice Yu On-On 10 nr
Felix Lok Ying-Kwan 10 nr
Henry Fong Ping 10 nr
周海媚 10 nr
徐帆 10 nr
刘宝贤 10 nr
Yuen Tak 10 nr
Bradley James Allan 10 nr
柯俊雄 10 nr
午马 10 nr
叶进 10 nr
Lau Kong 10 nr
龚蓓苾 10 nr
张智霖 10 nr
周慧敏 10 nr
梁曼仪 10 nr
钱嘉乐 10 nr
Alex Man Chi-Leung 10 nr
Lee Heung-Kam 10 nr
Michael McFall 10 nr
锺镇涛 10 nr
Leung Wing-Chung 10 nr
Elaine Eca Da Silva 10 nr
龙方 10 nr
李蕙敏 10 nr
陈法蓉 10 nr
锺景辉 10 nr
郑裕玲 10 nr
梁家仁 10 nr
杨丽菁 10 nr
Suki Kwan 10 nr
谷峰 10 nr
周文健 10 nr
Jessica Hsuan 10 nr
Amy Yip 10 nr
Ha Chi-Chun 10 nr
Lee Kin-Yan 10 nr
卢冠廷 10 nr
楼南光 10 nr
任世官 10 nr
Billy Chow 10 nr
Meg Lam Kin-Ming 10 nr
李丽丽 10 nr
